gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3355532732;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/90776415;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;12.300443;77.338774;31092.0;;;;;;2021-08-07T08:56:38;7;8;2021;2433395;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;90776415;;Mittal Gala;2021-08-11T14:15:44;CC_BY_4_0;Mittal Gala;Mittal Gala;;;2021-09-19T05:16:06.422Z;StillImage;COORDINATE_ROUNDED
3355451939;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/92715418;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;inornatus;SUBSPECIES;Melursus ursinus inornatus Pucheran, 1855;Melursus ursinus inornatus;;LK;;Anuradhapura;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;7.935734;80.563497;122419.0;;;;;;2017-07-26T17:44:45;26;7;2017;6163867;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;92715418;;Vihansith Kulatunga;2021-08-28T08:40:38;CC_BY_NC_4_0;Hashini;Hashini;;;2021-09-19T05:19:46.094Z;StillImage;COORDINATE_ROUNDED
3355281035;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/93726454;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Karnataka;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;12.858996;77.303835;31057.0;;;;;;2021-08-26T10:27:53;26;8;2021;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;93726454;;Chayant Gonsalves;2021-09-05T15:38:16;CC_BY_4_0;Chayant Gonsalves;Chayant Gonsalves;;;2021-09-19T04:57:22.278Z;StillImage;COORDINATE_ROUNDED
3351769054;d8cd16ba-bb74-4420-821e-083f2bac17c2;MZ427323;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus;;IN;Tamil Nadu;;PRESENT;;ada9d123-ddb4-467d-8891-806ea8d94230;;;;;;;;;2021-03-03T00:00:00;3;3;2021;2433395;2433395;PRESERVED_SPECIMEN;;;AIWC 220;;;;CC_BY_4_0;;Karthy Sivapushanam;;;2021-09-16T01:22:36.334Z;;
3349508676;d8cd16ba-bb74-4420-821e-083f2bac17c2;AB371354;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus;;;;;PRESENT;;ada9d123-ddb4-467d-8891-806ea8d94230;;;;;;;;;;;;;2433395;2433395;PRESERVED_SPECIMEN;;;personal:Hitoshi Suzuki:HS1421;;;;CC_BY_4_0;;;;;2021-09-16T01:20:55.664Z;;
3349078259;d8cd16ba-bb74-4420-821e-083f2bac17c2;MH538947;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus;;IN;;;PRESENT;;ada9d123-ddb4-467d-8891-806ea8d94230;;;;;;;;;;;;;2433395;2433395;PRESERVED_SPECIMEN;;;MU1;;;;CC_BY_4_0;;;;;2021-09-16T01:21:16.897Z;;
3337417952;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/90104465;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus;;IN;;Madhya Pradesh;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;22.467261;78.127878;30278.0;;;;;;2017-03-18T07:27:54;18;3;2017;2433395;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;90104465;;sherjinjoel;2021-08-06T02:26:40;CC_BY_NC_4_0;sherjinjoel;sherjinjoel;;;2021-09-19T04:32:27.692Z;StillImage;COORDINATE_ROUNDED
3337156301;7e380070-f762-11e1-a439-00145eb45e9a;04d7868f-a250-4d5a-b547-77ea0f004302;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus Shaw, 1791;Shaw, 1791;;;;PRESENT;;19456090-b49a-11d8-abeb-b8a03c50a862;;;;;;;;;;;;;7059318;2433395;PRESERVED_SPECIMEN;NHMUK;ZOO;ZD 1928.11.19.1;;;;CC0_1_0;;;;;2021-09-15T21:38:17.020Z;StillImage;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
3337137301;7e380070-f762-11e1-a439-00145eb45e9a;e37c33c7-c1a1-460e-ba76-3e476515ecc2;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;;SPECIES;Melursus ursinus (Shaw, 1791);Melursus ursinus Shaw, 1791;Shaw, 1791;;;;PRESENT;;19456090-b49a-11d8-abeb-b8a03c50a862;;;;;;;;;;;;;2433395;2433395;PRESERVED_SPECIMEN;NHMUK;ZOO;ZD 1900.7.2.1;;;;CC0_1_0;;;;;2021-09-15T21:38:15.673Z;StillImage;"COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY"
3327987656;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/86273599;Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;Melursus ursinus;ursinus;SUBSPECIES;Melursus ursinus ursinus;Melursus ursinus ursinus;;IN;;Tamil Nadu;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;8.445591;77.416276;31279.0;;;;;;2015-01-13T13:35:00;13;1;2015;7059318;2433395;HUMAN_OBSERVATION;iNaturalist;Observations;86273599;;Hopeland;2021-07-09T13:26:22;CC_BY_4_0;Hopeland;Hopeland;;;2021-09-19T04:30:09.530Z;StillImage;COORDINATE_ROUNDED
